datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-02-17,129200.69438069078,0.04091478131889477,2237503.7017919044,0.2314693615300358,1130.3405739813008,0.00012083456111594942,118078.99947977957,11121.694900911218,0.0060042143
2025-02-18,132040.61361883575,0.022058079887308197,2262061.442742377,0.1900743728057149,1140.3405739813008,7.739896482703822e-05,119347.93306156342,12692.68055727233,0.016148925
2025-02-19,134221.05551460542,0.01663987337413351,2316107.149262086,0.4093112341610573,1157.0377690719401,0.00012645499466428883,110476.80947923464,23744.246035370787,0.01398623
2025-02-20,137888.26847231068,0.027433944276384938,2346768.3811510955,0.22843831596655145,1172.0377690719401,0.0001117559383100497,125685.91628520479,12202.352187105893,-0.018104553
2025-02-21,141877.14223032873,0.02903861665364116,2388512.495592,0.3027386949114318,1187.2485802556778,0.00011031258389318387,122684.62763154274,19192.514598785994,0.021003008
2025-02-24,139656.7586897797,-0.015509077120941994,2441675.8189631407,0.3747138019233105,1207.2485802556778,0.00014096703447501953,123425.85628836762,16230.902401412068,-0.009534419
2025-02-25,136444.37525258772,-0.022849659318298424,2501899.4760700148,0.4312262268713337,1228.522659888379,0.00015233118563174865,119293.63770737986,17150.737545207852,-0.0129444
2025-02-26,129195.81824907477,-0.0530512377981091,2529334.869407999,0.20107383164161458,1238.5366656618648,7.339258767499824e-05,106063.78290762973,23132.035341445036,-0.04810232
2025-02-27,128874.98433864645,-0.002483314977035798,2529334.869407999,0.0,1238.5366656618648,0.0,105742.94899720141,23132.035341445036,0.0062993765
2025-02-28,133431.35207205196,0.03551013221759259,2581117.4801296606,0.40180498168358164,1258.5366656618648,0.00015518915561957115,116626.02336400772,16805.32870804424,0.029837012
2025-03-03,133044.2333195192,-0.002751368001835982,2630854.221120814,0.3727515326704912,1278.5366656618648,0.00014988980992413346,118118.46257071994,14925.770748799254,0.0022947788
2025-03-04,134978.2373338817,0.014686874925798213,2679091.62152576,0.36256663818790963,1298.5366656618648,0.00015032594424418212,120810.99482997962,14167.242503902084,0.0049903393
2025-03-05,137277.7418047759,0.017147241782162634,2707960.051221506,0.21387469762505157,1313.5366656618648,0.00011112902565838115,127627.7949844467,9649.946820329218,-0.00042635202
2025-03-06,129466.57380788465,-0.05682762474331325,2725454.4229135574,0.12743778752516272,1323.5366656618648,7.284502111217056e-05,119811.81637127472,9654.75743660993,-0.04389453
2025-03-07,131769.82719009326,0.017909785247776422,2772378.7769941855,0.36244377757504537,1339.001817117863,0.0001194528518144534,111640.52383541381,20129.303354679447,0.005073786
2025-03-10,133332.43511028597,0.011972451917363628,2813216.25125225,0.3099152144986234,1354.001817117863,0.00011383486128702863,101701.63913405176,31630.7959762342,0.00879097
2025-03-11,136805.71358999755,0.02619976509708326,2859904.9044687646,0.35016725808612287,1374.001817117863,0.00015000101050773574,108942.85879257855,27862.854797419015,0.024243355
2025-03-12,137414.73689282447,0.00460387110534144,2912933.1285038437,0.38761702741453513,1394.8143861335557,0.00015213230843608773,123850.45861501363,13564.27827781085,-0.004885614
2025-03-13,138564.45352775865,0.00848408240640549,2961548.039599843,0.3537823685818792,1410.935702852621,0.00011731868854531269,116442.48412208291,22121.96940567575,0.008354545
2025-03-14,141507.94986162457,0.021387132546748264,3018598.1813164875,0.4117227778422679,1430.935702852621,0.0001443371621712014,123746.86369130769,17761.086170316878,0.016242623
2025-03-17,138978.15336371117,-0.017725642082685046,3086934.0008095326,0.482911522355233,1452.4129296643202,0.00015177399455437664,119662.86397576332,19315.289387947854,0.00094103813
2025-03-18,140154.60047609193,0.008608886241635487,3141782.3464009017,0.39465444218292967,1472.4129296643202,0.0001439075100361942,123517.86609298016,16636.734383111776,0.00027430058
2025-03-19,136321.49292952972,-0.02720643870133015,3189619.727578722,0.34131866535469546,1492.4129296643202,0.0001426995612849089,121859.95678319808,14461.536146331635,-0.0030038953
