date,stock,action,amount,price,value,cost,cash_before,cash_after,account_value,warning
2025-04-24,SH603392,BUY,648.423162886648,13.877777099609375,8998.672120764604,11.698273756993986,10702.468795061992,10538.225445208574,92072.72066861198,
2025-04-24,SH600030,SELL,297.60297146685093,31.89505386352539,9492.062804880421,12.339681646344546,10702.468795061992,10538.225445208574,92072.72066861198,
2025-04-25,SH603986,BUY,594.7634758099371,15.16372299194336,9018.82859290729,11.724477170779476,10538.225445208574,19140.119682471774,94503.44083217075,
2025-04-25,SH603392,SELL,648.423162886648,13.877777099609375,8998.672120764604,11.698273756993986,10538.225445208574,19140.119682471774,94503.44083217075,
2025-04-25,SZ300782,SELL,1302.6061606267488,6.545092582702637,8525.677920100892,11.083381296131162,10538.225445208574,19140.119682471774,94503.44083217075,
2025-04-28,SH601012,SELL,359.11789468100335,29.565120697021484,10617.363900704113,13.802573070915347,19140.119682471774,11525.943812979353,95301.73196864953,
2025-04-28,SZ002241,BUY,262.27307986372904,36.772830963134766,9644.523632009652,12.537880721612547,19140.119682471774,11525.943812979353,95301.73196864953,
2025-04-28,SZ300782,BUY,1396.645354061951,6.919153690338135,9663.603855651358,12.562685012346765,19140.119682471774,11525.943812979353,95301.73196864953,
2025-04-28,SH600745,BUY,673.3412625485936,14.182188034057617,9549.452396553912,12.414288115520085,19140.119682471774,11525.943812979353,95301.73196864953,
2025-04-28,SH600584,SELL,1027.3628852652607,9.812653541564941,10081.156054570538,13.105502870941699,19140.119682471774,11525.943812979353,95301.73196864953,
2025-04-29,SZ002459,BUY,9886.719532571176,0.9721812009811401,9611.682868938742,12.495187729620364,11525.943812979353,11152.53881943323,95742.31959901602,
2025-04-29,SH603986,SELL,594.7634758099371,15.089982032775879,8974.970163723281,11.667461212840266,11525.943812979353,11152.53881943323,95742.31959901602,
2025-04-29,SZ002601,SELL,4328.2553006503485,2.3098912239074707,9997.798933803231,12.997138613944202,11525.943812979353,11152.53881943323,95742.31959901602,
2025-04-29,SZ300316,BUY,972.2327202987375,9.997519493103027,9719.91557301921,12.635890244924974,11525.943812979353,11152.53881943323,95742.31959901602,
2025-04-30,SZ002916,SELL,1761.0513526559255,5.107247829437256,8994.12569837952,11.692363407893374,11152.53881943323,11075.000126078625,95272.37307933156,
2025-04-30,SZ300782,SELL,1396.645354061951,7.259676456451416,10139.193394895798,13.180951413364538,11152.53881943323,11075.000126078625,95272.37307933156,
2025-04-30,SH600845,BUY,293.7503182324388,32.61354064941406,9580.23794445196,12.454309327787547,11152.53881943323,11075.000126078625,95272.37307933156,
2025-04-30,SZ300450,BUY,490.0939390355971,19.28862953186035,9453.240425867785,12.28921255362812,11152.53881943323,11075.000126078625,95272.37307933156,
2025-05-06,SH603392,BUY,655.6950020625706,14.523809432983398,9523.189256116431,12.38014603295136,11075.000126078625,10646.8786025257,96848.21577526612,
2025-05-06,SH600745,SELL,673.3412625485936,14.14969253540039,9527.57183646091,12.385843387399182,11075.000126078625,10646.8786025257,96848.21577526612,
2025-05-06,SH601878,SELL,7246.491932458907,1.1860020160675049,8594.354041313174,11.172660253707127,11075.000126078625,10646.8786025257,96848.21577526612,
2025-05-06,SH600196,BUY,340.5107907875066,27.06951141357422,9217.460737667592,11.98269895896787,11075.000126078625,10646.8786025257,96848.21577526612,
2025-05-07,SZ002459,SELL,9886.719532571176,1.0519871711730957,10400.702113251344,13.520912747226745,10646.8786025257,11269.892971810908,98444.11845841951,
2025-05-07,SH603986,BUY,638.2975020228846,15.494291305541992,9889.967435942353,12.856957666725059,10646.8786025257,11269.892971810908,98444.11845841951,
2025-05-07,SH600926,BUY,7451.587515424794,1.3643139600753784,10166.30487201745,13.216196333622685,10646.8786025257,11269.892971810908,98444.11845841951,
2025-05-07,SZ300450,SELL,490.0939390355971,19.386707305908203,9501.307748482739,12.351700073027562,10646.8786025257,11269.892971810908,98444.11845841951,
2025-05-08,SZ002459,BUY,9044.975268526974,1.0911645889282227,9869.556720748176,12.83042373697263,11269.892971810908,11159.564347746875,97316.28763606035,
2025-05-08,SH603392,SELL,655.6950020625706,14.631745338439941,9593.962289867384,12.4721509768276,11269.892971810908,11159.564347746875,97316.28763606035,
2025-05-08,SH600845,SELL,293.7503182324388,32.404327392578125,9518.781483677958,12.374415928781346,11269.892971810908,11159.564347746875,97316.28763606035,
2025-05-08,SH601628,BUY,6516.2920145810285,1.4463406801223755,9424.778224245129,12.252211691518667,11269.892971810908,11159.564347746875,97316.28763606035,
2025-05-09,SZ002459,SELL,9044.975268526974,1.0911645889282227,9869.556720748176,12.83042373697263,11159.564347746875,11179.66297443966,95241.99484562925,
2025-05-09,SH603986,SELL,638.2975020228846,15.199323654174805,9701.69032089712,12.612197417166255,11159.564347746875,11179.66297443966,95241.99484562925,
2025-05-09,SH601633,BUY,1287.0844292926363,7.36677885055542,9481.666352592185,12.326166258369842,11159.564347746875,11179.66297443966,95241.99484562925,
2025-05-09,SZ002466,BUY,4552.702910449603,2.0663833618164062,9407.629545446189,12.229918409080046,11159.564347746875,11179.66297443966,95241.99484562925,
2025-05-12,SH601689,SELL,2381.9623620673074,3.709078788757324,8834.886072762143,11.485351894590787,11179.66297443966,10670.876433071564,96526.5452815843,
2025-05-12,SH603986,BUY,611.395542660242,15.485815048217773,9467.958294941247,12.308345783423622,11179.66297443966,10670.876433071564,96526.5452815843,
2025-05-12,SZ002241,SELL,262.27307986372904,34.50736999511719,9050.354206616617,11.765460468601603,11179.66297443966,10670.876433071564,96526.5452815843,
2025-05-12,SH600176,BUY,168.67613783681992,54.547054290771484,9200.78644814267,11.96102238258547,11179.66297443966,10670.876433071564,96526.5452815843,
2025-05-13,SH601012,BUY,292.682368061223,29.510072708129883,8637.077961874322,11.228201350436619,10670.876433071564,10880.554808454324,93090.02158380933,
2025-05-13,SH603986,SELL,611.395542660242,15.485815048217773,9467.958294941247,12.308345783423622,10670.876433071564,10880.554808454324,93090.02158380933,
2025-05-13,SZ002648,BUY,3637.124238677399,2.5605506896972656,9313.040977860055,12.106953271218071,10670.876433071564,10880.554808454324,93090.02158380933,
2025-05-13,SH600926,SELL,7451.587515424794,1.3031150102615356,9710.275541627512,12.623358204115766,10670.876433071564,10880.554808454324,93090.02158380933,
2025-05-14,SZ002916,BUY,1785.3677649558426,5.155867576599121,9205.11977164107,11.966655703133389,10880.554808454324,19991.992718532485,93117.32437509732,
2025-05-14,SH601899,SELL,9346.773277010769,0.8728514909744263,8158.344990638773,10.605848487830405,10880.554808454324,19991.992718532485,93117.32437509732,
2025-05-14,SH600196,SELL,340.5107907875066,29.771835327148438,10137.63119044274,13.178920547575562,10880.554808454324,19991.992718532485,93117.32437509732,
