date,stock,action,amount,price,value,cost,cash_before,cash_after,account_value,warning
2025-04-28,SZ002180,SELL,2020.8552985833903,4.322078704833984,8734.295651558194,11.354584347025652,10895.793430212507,10293.052983535747,93400.52453255604,
2025-04-28,SH603392,SELL,585.9483116691143,14.192063331604004,8315.815548254512,10.810560212730866,10895.793430212507,10293.052983535747,93400.52453255604,
2025-04-28,SH603501,BUY,470.7213395333983,18.984601974487305,8936.457271939062,11.617394453520781,10895.793430212507,10293.052983535747,93400.52453255604,
2025-04-28,SH601633,BUY,1235.0810765850538,7.092085361480713,8759.300423490698,11.387090550537907,10895.793430212507,10293.052983535747,93400.52453255604,
2025-04-29,SZ002459,BUY,8979.996465920418,0.9721812009811401,8730.183749044905,11.349238873758376,10293.052983535747,10128.808815095543,93392.8096285358,
2025-04-29,SZ002938,BUY,3682.563473013314,2.419199228286743,8908.854712030758,11.581511125639985,10293.052983535747,10128.808815095543,93392.8096285358,
2025-04-29,SH603501,SELL,470.7213395333983,18.984601974487305,8936.457271939062,11.617394453520781,10293.052983535747,10128.808815095543,93392.8096285358,
2025-04-29,SH601633,SELL,1235.0810765850538,7.092085361480713,8759.300423490698,11.387090550537907,10293.052983535747,10128.808815095543,93392.8096285358,
2025-04-30,SH601689,SELL,2381.9623620673074,3.665241003036499,8730.466117138767,11.349605952280397,10128.808815095543,10420.193759739086,93753.51944546876,
2025-04-30,SZ300274,BUY,1830.8111112668414,5.294767379760742,9693.718950439186,12.601834635570942,10128.808815095543,10420.193759739086,93753.51944546876,
2025-04-30,SH600196,SELL,335.3431265342414,28.74761390686035,9640.314727925788,12.532409146303525,10128.808815095543,10420.193759739086,93753.51944546876,
2025-04-30,SZ300442,BUY,8739.80277584331,1.0062737464904785,8794.634082835732,11.43302430768645,10128.808815095543,10420.193759739086,93753.51944546876,
2025-05-06,SZ000301,BUY,8657.635164729429,1.0388118028640747,8993.653594011988,11.691749672215584,10420.193759739086,10518.141337678826,94103.9586397259,
2025-05-06,SH600346,SELL,1006.7131089972917,9.085405349731445,9146.396666128769,11.8903156659674,10420.193759739086,10518.141337678826,94103.9586397259,
2025-05-06,SH600515,BUY,5286.292536126742,1.7586244344711304,9296.603221794849,12.085584188333304,10420.193759739086,10518.141337678826,94103.9586397259,
2025-05-06,SZ002938,SELL,3682.563473013314,2.4254376888275146,8931.828238946038,11.61137671062985,10420.193759739086,10518.141337678826,94103.9586397259,
2025-05-07,SZ002463,BUY,3329.514106017371,2.8831419944763184,9599.461940259958,12.479300522337946,10518.141337678826,11023.156448785587,95390.33061522659,
2025-05-07,SH600515,SELL,5286.292536126742,1.7586244344711304,9296.603221794849,12.085584188333304,10518.141337678826,11023.156448785587,95390.33061522659,
2025-05-07,SZ300122,BUY,654.9548554801984,14.677462577819824,9613.075381472003,12.496997995913603,10518.141337678826,11023.156448785587,95390.33061522659,
2025-05-07,SZ300274,SELL,1830.8111112668414,5.695550441741943,10427.477033521916,13.555720143578492,10518.141337678826,11023.156448785587,95390.33061522659,
2025-05-08,SZ002459,SELL,8979.996465920418,1.0592422485351562,9511.9916483993,12.36558914291909,11023.156448785587,11019.758357460116,94224.96354857943,
2025-05-08,SH601336,BUY,3355.8770890359574,2.6576974391937256,8918.905945779758,11.594577729513684,11023.156448785587,11019.758357460116,94224.96354857943,
2025-05-08,SZ002463,SELL,3329.514106017371,2.8831419944763184,9599.461940259958,12.479300522337946,11023.156448785587,11019.758357460116,94224.96354857943,
2025-05-08,SH600176,BUY,171.3356962683809,55.21183395385742,9459.758012738395,12.297685416559915,11023.156448785587,11019.758357460116,94224.96354857943,
2025-05-09,SZ002709,BUY,872.5369330230594,10.390551567077637,9066.139996755865,11.785981995782624,11019.758357460116,10485.498736484848,93631.4088688122,
2025-05-09,SZ000301,SELL,8657.635164729429,1.0225039720535278,8852.46634452614,11.50820624788398,11019.758357460116,10485.498736484848,93631.4088688122,
2025-05-09,SZ002241,SELL,254.70344218165752,34.44707489013672,8773.788547607164,11.405925111889314,11019.758357460116,10485.498736484848,93631.4088688122,
2025-05-09,SZ002594,BUY,2123.8326868807185,4.2919392585754395,9115.360887469114,11.849969153709848,11019.758357460116,10485.498736484848,93631.4088688122,
2025-05-12,SH603392,BUY,615.6761288003853,15.953173637390137,9821.988187148721,12.76858464329334,10485.498736484848,19586.05103922407,95684.04433707561,
2025-05-12,SH601899,SELL,9346.773277010769,0.9511471390724182,8890.156661987323,11.55720366058352,10485.498736484848,19586.05103922407,95684.04433707561,
2025-05-12,SZ002594,SELL,2123.8326868807185,4.2919392585754395,9115.360887469114,11.849969153709848,10485.498736484848,19586.05103922407,95684.04433707561,
2025-05-13,SH601012,BUY,278.8004550484195,29.510072708129883,8227.421699538556,10.695648209400122,19586.05103922407,10830.562421647119,93460.2187920831,
2025-05-13,SH601336,SELL,3355.8770890359574,2.5871753692626953,8682.242547026823,11.28691531113487,19586.05103922407,10830.562421647119,93460.2187920831,
2025-05-13,SH600809,BUY,103.48398627250792,86.682373046875,8970.237502451224,11.661308753186592,19586.05103922407,10830.562421647119,93460.2187920831,
2025-05-13,SH603659,BUY,1948.8942847121923,4.488794326782227,8748.185608714395,11.372641291328714,19586.05103922407,10830.562421647119,93460.2187920831,
2025-05-13,SH601788,SELL,9855.102352614298,0.9786667823791504,9644.86130945023,12.5383197022853,19586.05103922407,10830.562421647119,93460.2187920831,
2025-05-14,SH600809,SELL,103.48398627250792,86.682373046875,8970.237502451224,11.661308753186592,10830.562421647119,19687.958766765845,93822.36818080739,
2025-05-14,SH600515,BUY,5332.98972809738,1.6427867412567139,8760.964816576623,11.38925426154961,10830.562421647119,19687.958766765845,93822.36818080739,
2025-05-14,SH603659,SELL,1948.8942847121923,4.488794326782227,8748.185608714395,11.372641291328714,10830.562421647119,19687.958766765845,93822.36818080739,
