date,stock,action,amount,price,value
2024-12-25,SH601689,SELL,3718.6899644247674,2.1887643337249756,8139.3359623139295
2024-12-26,SZ000408,SELL,7522.6863200544585,1.371567726135254,10317.873770425875
2024-12-26,SZ002129,BUY,2056.302928028646,4.427050590515137,9103.357091807222
2024-12-26,SZ300142,SELL,1927.3020088544038,5.228976249694824,10077.816430288802
2024-12-26,SH601689,BUY,4607.149421081853,2.0503668785095215,9446.346577330547
2024-12-27,SZ002603,BUY,5488.836065629627,1.767006754875183,9698.810404370075
2024-12-27,SH603806,BUY,6902.29835569131,1.3352234363555908,9216.110529237694
2024-12-27,SZ002129,SELL,2056.302928028646,4.427050590515137,9103.357091807222
2024-12-27,SZ300142,BUY,1870.8697502635014,5.189944744110107,9709.710627294648
2024-12-27,SH603195,SELL,4603.222497328527,2.033874273300171,9362.375811593056
2024-12-30,SZ002460,SELL,1038.9382006550165,8.853403091430664,9198.138677484536
2024-12-30,SH603501,SELL,491.8162983030727,17.984758377075195,8845.1972908883
2024-12-31,SH603806,SELL,6902.29835569131,1.3505876064300537,9322.15861507922
2024-12-31,SZ300142,SELL,1870.8697502635014,5.316796779632568,9947.034263312971
2024-12-31,SZ300750,BUY,2248.8626578172284,4.190253257751465,9423.304078154259
2024-12-31,SH603195,BUY,4439.49457995596,2.104076623916626,9341.036767689897
2025-01-02,SZ002603,SELL,5488.836065629627,1.7008589506149292,9335.735950684184
2025-01-02,SZ300502,BUY,3609.8448153619365,2.6258115768432617,9478.772306785
2025-01-02,SZ300014,BUY,2521.8944861563596,3.7399635314941406,9431.79340850094
2025-01-02,SZ000661,BUY,222.33828599763174,41.72187423706055,9276.37000647679
2025-01-02,SZ300750,SELL,2248.8626578172284,4.190253257751465,9423.304078154259
2025-01-03,SZ002920,BUY,4139.038857691865,1.802181601524353,7459.299677326654
2025-01-03,SH603195,SELL,4439.49457995596,2.1072301864624023,9355.036991519422
2025-01-06,SZ300628,SELL,19162.170231337303,0.49916374683380127,9565.060690141456
2025-01-06,SH603806,BUY,5499.825726823826,1.4599661827087402,8029.5595719543035
2025-01-06,SZ300832,BUY,2188.2109241988073,3.610619306564331,7900.796609747192
2025-01-07,SZ002074,BUY,963.8870322838229,10.224056243896484,9854.835230832272
2025-01-07,SZ300502,SELL,3609.8448153619365,2.7790675163269043,10032.00246535345
2025-01-07,SZ300832,SELL,2188.2109241988073,3.610619306564331,7900.796609747192
2025-01-07,SZ002714,BUY,683.3765517411643,16.3701171875,11186.954235192517
2025-01-07,SH603259,BUY,3128.523372533242,3.5272929668426514,11035.218488539356
2025-01-08,SZ300433,BUY,2855.971296080516,3.263197660446167,9319.598851671346
2025-01-08,SH603806,SELL,5499.825726823826,1.4559422731399536,8007.428770585479
2025-01-08,SZ002074,SELL,963.8870322838229,10.224056243896484,9854.835230832272
2025-01-09,SZ002466,SELL,5793.558649125414,2.1633965969085693,12533.765065508129
2025-01-09,SZ300832,BUY,3318.924943316425,3.329645872116089,11050.84473737666
2025-01-09,SZ002938,BUY,5012.943785805019,2.2040953636169434,11049.006156365209
2025-01-09,SH603259,SELL,3128.523372533242,3.6397008895874023,11386.88930210422
2025-01-10,SZ300433,SELL,2855.971296080516,3.2886250019073486,9392.21860902012
2025-01-10,SZ300759,BUY,1500.3622970605304,7.015669345855713,10526.045775165227
2025-01-10,SZ002938,SELL,5012.943785805019,2.2040953636169434,11049.006156365209
2025-01-10,SH603259,BUY,2860.223789298779,3.7088711261749268,10608.20142652888
2025-01-13,SZ300628,BUY,19855.333559969065,0.5264155268669128,10452.155877089412
2025-01-13,SH603986,BUY,537.5104846691621,18.94490623474121,10183.085732247579
2025-01-13,SZ000661,SELL,222.33828599763174,43.6605110168457,9707.403185266192
2025-01-13,SH603259,SELL,2860.223789298779,3.7088711261749268,10608.20142652888
2025-01-14,SH603986,SELL,537.5104846691621,18.94490623474121,10183.085732247579
2025-01-14,SH603392,BUY,937.130303715208,11.507936477661133,10784.436006445898
2025-01-14,SZ000661,BUY,250.17008219635653,42.975215911865234,10751.113297077494
2025-01-14,SH601689,SELL,4607.149421081853,2.4702985286712646,11381.03443626717
2025-01-15,SH600600,BUY,878.7648295435288,11.047646522521973,9708.28321322118
2025-01-15,SZ002920,SELL,4139.038857691865,1.7834304571151733,7381.687961990868
2025-01-15,SH600809,BUY,164.26594716722866,58.692588806152344,9641.193691939297
2025-01-15,SZ000708,SELL,2614.518876644172,4.029458522796631,10535.095370506531
2025-01-16,SZ300450,BUY,567.1573707069772,19.11355209350586,10840.391950223622
2025-01-16,SZ300014,SELL,2521.8944861563596,4.676408767700195,11793.40948627638
2025-01-16,SH600415,BUY,73.71883714744926,154.54798889160156,11393.098024565774
2025-01-16,SZ000661,SELL,250.17008219635653,45.64196014404297,11418.252920838058
2025-01-17,SZ300014,BUY,1617.03086067762,4.760095119476318,7697.2207079541295
2025-01-17,SH600415,SELL,73.71883714744926,154.54798889160156,11393.098024565774
2025-01-17,SZ002916,BUY,1137.8586383382406,6.688479900360107,7610.544631976442
2025-01-20,SH601689,BUY,4142.225631476523,2.277869462966919,9435.449274659233
2025-01-20,SZ300832,SELL,3318.924943316425,3.5482301712036133,11776.309619835582
2025-01-21,SZ300661,BUY,1564.230348008931,9.978118896484375,15608.076393922245
2025-01-21,SH601689,SELL,4142.225631476523,2.277869462966919,9435.449274659233
2025-01-21,SH600918,BUY,6781.248029991482,2.2583200931549072,15314.228682796895
2025-01-21,SZ300759,SELL,1500.3622970605304,7.565827369689941,11351.482131551431
2025-01-22,SH603392,SELL,937.130303715208,12.924603462219238,12112.037567948144
2025-01-22,SZ300502,BUY,4674.6596449885765,2.9086496829986572,13596.947294522639
2025-01-22,SH600918,SELL,6781.248029991482,2.2583200931549072,15314.228682796895
2025-01-22,SH601127,BUY,12839.04286732354,1.061600923538208,13629.939765297313
2025-01-23,SZ300661,SELL,1564.230348008931,9.66135311126709,15112.581739474488
2025-01-23,SH600918,BUY,5982.447923814314,2.2155308723449707,13254.298067406686
2025-01-23,SZ002714,SELL,683.3765517411643,16.08477020263672,10991.954796626911
2025-01-24,SH603392,BUY,954.7023833167175,12.665872573852539,12092.138733042866
2025-01-24,SH601100,BUY,2519.185108439937,4.83935022354126,12191.21901767062
2025-01-24,SZ000063,BUY,564.6865698585547,21.344209671020508,12052.78854547036
2025-01-24,SZ300502,SELL,4674.6596449885765,3.2028515338897705,14972.240814364272
2025-01-24,SZ002916,SELL,1137.8586383382406,7.167230129241943,8155.294715516049
2025-01-27,SH600809,SELL,164.26594716722866,60.26314163208008,9899.182039466485
2025-01-27,SZ300832,BUY,3379.1821859633183,3.63938045501709,12298.129601536826
2025-01-27,SH601127,SELL,12839.04286732354,1.0789029598236084,13852.081350857556
